"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",11,1768204,1562409,795157,767252,424320,899190,238899,208310,444471,114471
2015,"MUNICIPIO",110001,25578,24392,12656,11736,6416,13823,4153,3131,6715,1890
2015,"MUNICIPIO",110002,104401,90353,45543,44810,24812,52550,12991,12250,26364,6196
2015,"MUNICIPIO",110003,6355,6313,3266,3047,1617,3366,1330,811,1634,602
2015,"MUNICIPIO",110004,87226,78574,39124,39450,19557,45798,13219,9640,23217,6593
2015,"MUNICIPIO",110005,17986,17029,8551,8478,4227,9656,3146,2060,4889,1529
2015,"MUNICIPIO",110006,18817,18591,9330,9261,4445,10329,3817,2185,5193,1883
2015,"MUNICIPIO",110007,8842,8783,4711,4072,2281,4995,1507,1078,2329,665
2015,"MUNICIPIO",110008,16651,13678,7202,6476,4605,7276,1797,2266,3413,797
2015,"MUNICIPIO",110009,32385,28729,14606,14123,7699,16309,4721,3816,8031,2276
2015,"MUNICIPIO",110010,46632,41656,20947,20709,13186,22575,5895,6482,11268,2959
2015,"MUNICIPIO",110011,55738,52005,26005,26000,13822,29844,8339,6958,14932,4110
2015,"MUNICIPIO",110012,130419,116610,57824,58786,29730,68141,18739,14584,34691,9511
2015,"MUNICIPIO",110013,37167,31135,16536,14599,9405,17025,4705,4503,8127,1969
2015,"MUNICIPIO",110014,21592,19874,10344,9530,5244,11228,3402,2564,5391,1575
2015,"MUNICIPIO",110015,39924,37928,18698,19230,9676,21749,6503,4849,11074,3307
2015,"MUNICIPIO",110018,37512,33822,17041,16781,8803,19615,5404,4294,9852,2635
2015,"MUNICIPIO",110020,502748,428527,217618,210909,113689,257722,57116,55954,126653,28302
2015,"MUNICIPIO",110025,22557,22319,11309,11010,5519,12227,4573,2699,6090,2221
2015,"MUNICIPIO",110026,3750,3316,1767,1549,938,1788,590,443,862,244
2015,"MUNICIPIO",110028,56242,50648,25170,25478,12780,29584,8284,6273,15079,4126
2015,"MUNICIPIO",110029,8532,8886,4596,4290,2176,5034,1676,1022,2460,808
2015,"MUNICIPIO",110030,91801,76202,37782,38420,20135,44825,11242,9955,22796,5669
2015,"MUNICIPIO",110032,23933,21828,11328,10500,6294,12285,3249,3076,5965,1459
2015,"MUNICIPIO",110033,27600,22546,11735,10811,7287,12262,2997,3592,5923,1296
2015,"MUNICIPIO",110034,17063,16853,8678,8175,4497,9270,3086,2180,4569,1426
2015,"MUNICIPIO",110037,13940,12816,6739,6077,3765,7091,1960,1832,3358,887
2015,"MUNICIPIO",110040,20210,17135,9022,8113,5105,9323,2707,2503,4407,1203
2015,"MUNICIPIO",110045,37838,32383,16741,15642,9779,18228,4376,4847,8892,1903
2015,"MUNICIPIO",110050,10276,10240,5336,4904,2636,5656,1948,1290,2734,880
2015,"MUNICIPIO",110060,6367,5736,2965,2771,1665,3070,1001,844,1500,427
2015,"MUNICIPIO",110070,14220,12665,6768,5897,3942,6900,1823,1947,3218,732
2015,"MUNICIPIO",110080,24155,19779,10320,9459,6201,10686,2892,3046,5192,1221
2015,"MUNICIPIO",110090,3617,3575,1829,1746,916,1928,731,466,940,340
2015,"MUNICIPIO",110092,10129,8301,4415,3886,2509,4732,1060,1223,2240,423
2015,"MUNICIPIO",110094,20974,15854,8456,7398,5124,8810,1920,2474,4156,768
2015,"MUNICIPIO",110100,10127,10512,5470,5042,2970,5717,1825,1477,2722,843
2015,"MUNICIPIO",110110,9995,8566,4565,4001,2684,4495,1387,1258,2164,579
2015,"MUNICIPIO",110120,10823,10352,5304,5048,2935,5719,1698,1439,2809,800
2015,"MUNICIPIO",110130,12360,11878,6049,5829,3337,6407,2134,1677,3144,1008
2015,"MUNICIPIO",110140,15873,14091,7408,6683,4257,7514,2320,2023,3646,1014
2015,"MUNICIPIO",110143,7824,7493,3999,3494,2106,4161,1226,954,1986,554
2015,"MUNICIPIO",110145,5697,4810,2595,2215,1397,2683,730,663,1253,299
2015,"MUNICIPIO",110146,2424,2315,1218,1097,717,1226,372,346,600,151
2015,"MUNICIPIO",110147,3501,3524,1856,1668,960,1876,688,468,891,309
2015,"MUNICIPIO",110148,6103,6018,3086,2932,1498,3279,1241,751,1625,556
2015,"MUNICIPIO",110149,19002,16035,8415,7620,4894,8904,2237,2352,4293,975
2015,"MUNICIPIO",110150,12581,11629,6087,5542,3415,6458,1756,1652,3114,776
2015,"MUNICIPIO",110155,5003,4888,2540,2348,1255,2699,934,624,1288,436
2015,"MUNICIPIO",110160,11347,10649,5653,4996,3030,5738,1881,1478,2694,824
2015,"MUNICIPIO",110170,13293,12974,6731,6243,3454,7067,2453,1643,3456,1144
2015,"MUNICIPIO",110175,10843,9384,4979,4405,2755,5002,1627,1306,2414,685
2015,"MUNICIPIO",110180,8231,8210,4244,3966,2174,4545,1491,1062,2218,686
