"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
2015,"UF",11,740547,67350
2015,"MUNICIPIO",110001,10359,NA
2015,"MUNICIPIO",110037,NA,NA
2015,"MUNICIPIO",110040,1459,NA
2015,"MUNICIPIO",110034,9063,6642
2015,"MUNICIPIO",110002,42973,1158
2015,"MUNICIPIO",110045,NA,NA
2015,"MUNICIPIO",110003,2109,NA
2015,"MUNICIPIO",110060,744,NA
2015,"MUNICIPIO",110004,68739,38500
2015,"MUNICIPIO",110070,3785,NA
2015,"MUNICIPIO",110080,12619,NA
2015,"MUNICIPIO",110090,727,NA
2015,"MUNICIPIO",110005,9161,NA
2015,"MUNICIPIO",110092,NA,NA
2015,"MUNICIPIO",110006,13686,NA
2015,"MUNICIPIO",110007,1744,NA
2015,"MUNICIPIO",110008,2741,NA
2015,"MUNICIPIO",110094,2096,NA
2015,"MUNICIPIO",110009,12611,NA
2015,"MUNICIPIO",110100,NA,NA
2015,"MUNICIPIO",110010,18936,2378
2015,"MUNICIPIO",110110,5750,NA
2015,"MUNICIPIO",110011,21951,NA
2015,"MUNICIPIO",110012,76271,NA
2015,"MUNICIPIO",110013,12885,NA
2015,"MUNICIPIO",110120,2600,NA
2015,"MUNICIPIO",110130,2897,NA
2015,"MUNICIPIO",110140,5053,NA
2015,"MUNICIPIO",110014,7951,NA
2015,"MUNICIPIO",110033,2723,NA
2015,"MUNICIPIO",110143,1328,NA
2015,"MUNICIPIO",110050,2247,NA
2015,"MUNICIPIO",110015,23143,NA
2015,"MUNICIPIO",110145,1679,NA
2015,"MUNICIPIO",110018,30471,NA
2015,"MUNICIPIO",110146,1315,NA
2015,"MUNICIPIO",110020,170755,18672
2015,"MUNICIPIO",110025,11761,NA
2015,"MUNICIPIO",110147,1550,NA
2015,"MUNICIPIO",110026,561,NA
2015,"MUNICIPIO",110028,37190,NA
2015,"MUNICIPIO",110029,2725,NA
2015,"MUNICIPIO",110148,1994,NA
2015,"MUNICIPIO",110149,NA,NA
2015,"MUNICIPIO",110032,3394,NA
2015,"MUNICIPIO",110150,2377,NA
2015,"MUNICIPIO",110155,651,NA
2015,"MUNICIPIO",110160,1186,NA
2015,"MUNICIPIO",110170,3501,NA
2015,"MUNICIPIO",110175,1443,NA
2015,"MUNICIPIO",110180,618,NA
2015,"MUNICIPIO",110030,89025,NA
